codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
82294,ACARAU,Ceara,CE,Nordeste,-2.88,-40.13,16.5,meters,NI,operante,nao_operante
82989,AGUA_BRANCA,Alagoas,AL,Nordeste,-9.28,-37.9,605.34,meters,1928-05-05,operante,operante
83595,AIMORES,Minas_Gerais,MG,Sudeste,-19.49,-41.07,82.74,meters,NI,operante,nao_operante
83249,ALAGOINHA,Bahia,BA,Nordeste,-12.28,-38.42,130.92,meters,1931-01-01,operante,operante
82353,ALTAMIRA,Para,PA,Nordeste,-3.21,-52.21,74.04,meters,1927-04-24,operante,operante
82970,ALTO_PARNAIBA,Maranhao,MA,Nordeste,-9.1,-45.93,285.05,meters,1976-08-21,operante,operante
82590,APODI,Rio_grande_do_Norte,RN,Nordeste,-5.61,-37.81,150,meters,1962-12-18,operante,operante
83096,ARACAJU,Sergipe,SE,Nordeste,-10.95,-37.04,4.72,meters,1910-03-01,operante,operante
83442,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289,meters,1918-09-06,operante,operante
83368,ARAGARCAS,Goias,GO,Centro-Oeste,-15.9,-52.23,345,meters,1970-07-19,operante,operante
82659,ARAGUAIANA,Tocantins,TO,Norte,-7.2,-48.2,228.52,meters,1984-08-21,operante,operante
83579,ARAXA,Minas_Gerais,MG,Sudeste,-19.6,-46.93,1023.61,meters,1916-09-07,operante,operante
82890,ARCOVERDE,Pernambuco,PE,Nordeste,-8.41,-37.08,680.7,meters,1973-02-01,operante,operante
82696,AREIA,Paraiba,PB,Nordeste,-6.96,-35.68,574.62,meters,1929-01-01,operante,operante
83384,ARINOS,Minas_Gerais,MG,Sudeste,-15.9,-46.05,519,meters,1976-04-05,operante,operante
83773,AVARE,Sao_Paulo,SP,Sudeste,-23.08,-54.7,813,meters,NI,operante,nao_operante
83049,AVELAR(P.DO_ALFERES),Rio_de_Janeiro,RJ,Sudeste,-22.35,-43.41,507,meters,1971-04-01,operante,operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
,,,,,,,,meters,NI,operante,nao_operante
